Date : 2022-08-07 18:11:47
Directory : /Users/haritha/Development/meet.hasathcharu.com
Total : 76 files,  8515 codes, 96 comments, 457 blanks, all 9068 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/pageload.js            | JavaScript |         44 |         15 |          3 |         62 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/pageloadn.js           | JavaScript |         34 |          0 |          1 |         35 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/signup.js              | JavaScript |         74 |          0 |         10 |         84 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/userApprove.js         | JavaScript |         35 |          0 |          3 |         38 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/userprofile.js         | JavaScript |        138 |          1 |          7 |        146 |
| /Users/haritha/Development/meet.hasathcharu.com/public/js/zoomlink.js            | JavaScript |        143 |          0 |         15 |        158 |
| /Users/haritha/Development/meet.hasathcharu.com/public/safari-pinned-tab.svg     | XML        |         24 |          0 |          1 |         25 |
| /Users/haritha/Development/meet.hasathcharu.com/public/site.webmanifest          | JSON       |         19 |          0 |          1 |         20 |
| /Users/haritha/Development/meet.hasathcharu.com/routes/admin.js                  | JavaScript |         27 |          0 |         27 |         54 |
| /Users/haritha/Development/meet.hasathcharu.com/routes/auth.js                   | JavaScript |          9 |          1 |          4 |         14 |
| /Users/haritha/Development/meet.hasathcharu.com/routes/front.js                  | JavaScript |          7 |          1 |          7 |         15 |
| /Users/haritha/Development/meet.hasathcharu.com/routes/join.js                   | JavaScript |          7 |          1 |          7 |         15 |
| /Users/haritha/Development/meet.hasathcharu.com/routes/user.js                   | JavaScript |         21 |          0 |         21 |         42 |
| /Users/haritha/Development/meet.hasathcharu.com/routes/zoomSync.js               | JavaScript |          9 |          0 |         10 |         19 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_admin.scss              | SCSS       |         23 |          0 |          2 |         25 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_banner.scss             | SCSS       |         15 |          0 |          0 |         15 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_dropmenu.scss           | SCSS       |         75 |          0 |          1 |         76 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_error.scss              | SCSS       |         24 |          0 |          1 |         25 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_header.scss             | SCSS       |         96 |          0 |          1 |         97 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_input.scss              | SCSS       |        123 |          0 |          5 |        128 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_loader.scss             | SCSS       |        135 |         44 |          5 |        184 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_modal.scss              | SCSS       |         87 |          0 |          3 |         90 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_profile.scss            | SCSS       |         65 |          0 |          3 |         68 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/_variables.scss          | SCSS       |        105 |          0 |          2 |        107 |
| /Users/haritha/Development/meet.hasathcharu.com/src/css/body.scss                | SCSS       |        129 |          1 |          4 |        134 |
| /Users/haritha/Development/meet.hasathcharu.com/utils/database.js                | JavaScript |          9 |          0 |          1 |         10 |
| /Users/haritha/Development/meet.hasathcharu.com/utils/version.js                 | JavaScript |          1 |          0 |          0 |          1 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/changepassword.ejs   | HTML       |         60 |          0 |          2 |         62 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/delete.ejs           | HTML       |         56 |          0 |          2 |         58 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/firstTime.ejs        | HTML       |         22 |          0 |          3 |         25 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/home.ejs             | HTML       |         68 |          1 |          4 |         73 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/login.ejs            | HTML       |         46 |          0 |          2 |         48 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/manage.ejs           | HTML       |        129 |          0 |          7 |        136 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/notApproved.ejs      | HTML       |         21 |          0 |          3 |         24 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/signup.ejs           | HTML       |         91 |          0 |          2 |         93 |
| /Users/haritha/Development/meet.hasathcharu.com/views/admin/userProfile.ejs      | HTML       |         78 |          1 |          4 |         83 |
| /Users/haritha/Development/meet.hasathcharu.com/views/error/error.ejs            | HTML       |         15 |          0 |          1 |         16 |
| /Users/haritha/Development/meet.hasathcharu.com/views/front/link.ejs             | HTML       |         58 |          0 |          6 |         64 |
| /Users/haritha/Development/meet.hasathcharu.com/views/front/over.ejs             | HTML       |         21 |          0 |          2 |         23 |
| /Users/haritha/Development/meet.hasathcharu.com/views/includes/end.ejs           | HTML       |         10 |          0 |          0 |         10 |
| /Users/haritha/Development/meet.hasathcharu.com/views/includes/head.ejs          | HTML       |         37 |          1 |          5 |         43 |
| /Users/haritha/Development/meet.hasathcharu.com/views/includes/loader.ejs        | HTML       |          5 |          0 |          0 |          5 |
| /Users/haritha/Development/meet.hasathcharu.com/views/includes/navigation.ejs    | HTML       |         33 |          0 |          2 |         35 |
| Total                                                                            |            |      8,515 |         96 |        457 |      9,068 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
